	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	35	40	45	50	60	80	100	200	500	501
1	405	500	540	563	576	586	593	598	602	606	611	614	617	619	621	622	623	624	625	626	628	629	630	630	631	633	633	635	636	637
2	98.5	99.2	99.2	99.2	99.3	99.3	99.4	99.4	99.4	99.4	99.4	99.4	99.4	99.4	99.4	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5	99.5
3	34.1	30.8	29.5	28.7	28.2	27.9	27.7	27.5	27.3	27.2	27.1	26.9	26.8	26.8	26.7	26.6	26.6	26.6	26.5	26.5	26.5	26.4	26.4	26.4	26.3	26.3	26.2	26.2	26.1	26.1
4	21.2	18	16.7	16	15.5	15.2	15	14.8	14.7	14.5	14.4	14.2	14.2	14.1	14	14	13.9	13.9	13.9	13.8	13.8	13.8	13.7	13.7	13.7	13.6	13.6	13.5	13.5	13.5
5	16.3	13.3	12.1	11.4	11	10.7	10.5	10.3	10.2	10.1	9.89	9.77	9.68	9.61	9.55	9.51	9.47	9.43	9.4	9.38	9.33	9.29	9.26	9.24	9.2	9.16	9.13	9.08	9.04	9.02
6	13.7	11	9.78	9.15	8.75	8.47	8.26	8.1	7.98	7.87	7.72	7.6	7.52	7.45	7.4	7.35	7.31	7.28	7.25	7.23	7.18	7.14	7.11	7.09	7.06	7.01	6.99	6.93	6.9	6.88
7	12.2	9.55	8.45	7.85	7.46	7.19	6.99	6.84	6.72	6.62	6.47	6.36	6.27	6.21	6.16	6.11	6.07	6.04	6.02	5.99	5.94	5.91	5.88	5.86	5.82	5.78	5.75	5.7	5.67	5.65
8	11.3	8.65	7.59	7.01	6.63	6.37	6.18	6.03	5.91	5.81	5.67	5.56	5.48	5.41	5.36	5.32	5.28	5.25	5.22	5.2	5.15	5.12	5	5.07	5.03	4.9	4.96	4.91	4.88	4.86
9	10.6	8.02	6.99	6.42	6.06	5.8	5.61	5.47	5.35	5.26	5.11	5	4.92	4.86	4.81	4.77	4.72	4.7	4.67	4.65	4.6	4.57	4.54	4.52	4.48	4.44	4.42	4.36	4.33	4.31
10	10	7.56	6.55	5.99	5.64	5.39	5.2	5.06	4.94	4.85	4.71	4.6	4.52	4.46	4.41	4.36	4.33	4.3	4.27	4.25	4.2	4.17	4.14	4.12	4.08	4.04	4.01	3.96	3.93	3.91
11	9.65	7.21	6.22	5.67	5.32	5.07	4.89	4.74	4.63	4.54	4.4	4.29	4.21	4.15	4.1	4.06	4.02	3.99	3.96	3.94	3.89	3.86	3.83	3.81	3.78	3.73	3.71	3.66	3.62	3.6
12	9.33	6.93	5.95	5.41	5.06	4.82	4.64	4.5	4.39	4.3	4.16	4.05	3.97	3.91	3.86	3.82	3.78	3.75	3.72	3.7	3.65	3.62	3.59	3.57	3.54	3.49	3.47	3.41	3.38	3.36
13	9.07	6.7	5.74	5.21	4.86	4.62	4.44	4.3	4.19	4.1	3.96	3.86	3.78	3.71	3.66	3.62	3.59	3.56	3.53	3.51	3.46	3.43	3.4	3.38	3.34	3.3	3.27	3.22	3.19	3.17
14	8.86	6.52	5.56	5.04	4.7	4.46	4.28	4.14	4.03	3.94	3.8	3.7	3.62	3.56	3.51	3.46	3.43	3.4	3.37	3.35	3.3	3.27	3.24	3.22	3.18	3.14	3.11	3.06	3.03	3
15	8.68	6.36	5.42	4.89	4.56	4.32	4.14	4	3.9	3.81	3.67	3.56	3.49	3.42	3.37	3.33	3.29	3.26	3.24	3.21	3.17	3.13	3.1	3.08	3.05	3	2.98	2.92	2.89	2.87
16	8.53	6.23	5.29	4.77	4.44	4.2	4.03	3.89	3.78	3.69	3.55	3.45	3.37	3.31	3.26	3.22	3.18	3.15	3.12	3.1	3.05	3.02	2.99	2.97	2.93	2.89	2.86	2.81	2.78	2.75
17	8.4	6.11	5.19	4.67	4.34	4.1	3.93	3.79	3.68	3.59	3.46	3.35	3.27	3.21	3.16	3.12	3.08	3.05	3.03	3	2.96	2.92	2.89	2.87	2.84	2.79	2.76	2.71	2.68	2.65
18	8.29	6.01	5.09	4.58	4.25	4.02	3.84	3.71	3.6	3.51	3.37	3.27	3.19	3.13	3.08	3.03	3	2.97	2.94	2.92	2.87	2.84	2.81	2.78	2.75	2.7	2.68	2.62	2.59	2.57
19	8.18	5.93	5.01	4.5	4.17	3.94	3.77	3.63	3.52	3.43	3.3	3.19	3.12	3.05	3	2.96	2.92	2.89	2.87	2.84	2.8	2.76	2.73	2.71	2.67	2.63	2.6	2.55	2.51	2.49
20	8.1	5.85	4.94	4.43	4.1	3.87	3.7	3.56	3.46	3.37	3.23	3.13	3.05	2.99	2.94	2.9	2.86	2.83	2.8	2.78	2.73	2.7	2.67	2.64	2.61	2.56	2.54	2.48	2.44	2.42
21	8.02	5.78	4.87	4.37	4.04	3.81	3.64	3.51	3.4	3.31	3.17	3.07	2.99	2.93	2.88	2.84	2.8	2.77	2.74	2.72	2.67	2.64	2.61	2.58	2.55	2.5	2.48	2.42	2.38	2.36
22	7.95	5.72	4.82	4.31	3.99	3.76	3.59	3.45	3.35	3.26	3.12	3.02	2.94	2.88	2.83	2.78	2.75	2.72	2.69	2.67	2.62	2.58	2.55	2.53	2.5	2.45	2.42	2.36	2.33	2.31
23	7.88	5.66	4.77	4.26	3.94	3.71	3.54	3.41	3.3	3.21	3.07	2.97	2.89	2.83	2.78	2.74	2.7	2.67	2.64	2.62	2.57	2.54	2.51	2.48	2.45	2.4	2.37	2.32	2.23	2.26
24	7.82	5.61	4.72	4.22	3.9	3.67	3.5	3.36	3.26	3.17	3.03	2.93	2.85	2.79	2.74	2.7	2.66	2.63	2.6	2.58	2.53	2.49	2.46	2.44	2.4	2.36	2.33	2.27	2.24	2.21
25	7.77	5.57	4.68	4.18	3.86	3.63	3.46	3.32	3.22	3.13	2.99	2.89	2.81	2.75	2.7	2.66	2.62	2.59	2.56	2.54	2.49	2.45	2.42	2.4	2.36	2.32	2.29	2.23	2.19	2.17
26	7.72	5.53	4.64	4.14	3.82	3.59	3.42	3.29	3.18	3.09	2.96	2.86	2.78	2.72	2.66	2.62	2.58	2.55	2.53	2.5	2.45	2.42	2.39	2.36	2.33	2.28	2.25	2.19	2.16	2.13
27	7.68	5.49	4.6	4.11	3.78	3.56	3.39	3.26	3.15	3.06	2.93	2.82	2.75	2.68	2.63	2.59	2.55	2.52	2.49	2.47	2.42	2.38	2.35	2.33	2.29	2.25	2.22	2.16	2.12	2.1
28	7.64	5.45	4.57	4.07	3.75	3.53	3.36	3.23	3.12	3.03	2.9	2.79	2.72	2.65	2.6	2.56	2.52	2.49	2.46	2.44	2.39	2.35	2.32	2.3	2.26	2.22	2.19	2.13	2.09	2.06
29	7.6	5.42	4.54	4.04	3.73	3.5	3.33	3.2	3.09	3	2.87	2.77	2.69	2.63	2.57	2.53	2.49	2.46	2.44	2.41	2.36	2.33	2.3	2.27	2.23	2.19	2.16	2.1	2.06	2.03
30	7.56	5.39	4.51	4.02	3.7	3.47	3.3	3.17	3.07	2.98	2.81	2.74	2.66	2.6	2.55	2.51	2.47	2.44	2.41	2.39	2.34	2.3	2.27	2.25	2.21	2.16	2.13	2.07	2.03	2.01
32	7.5	5.34	4.46	3.97	3.65	3.43	3.26	3.13	3.02	2.93	2.8	2.7	2.62	2.55	2.5	2.46	2.42	2.39	2.36	2.34	2.29	2.25	2.22	2.2	2.16	2.11	2.08	2.02	1.98	1.96
34	7.44	5.29	4.42	3.93	3.61	3.39	3.22	3.09	2.98	2.89	2.76	2.66	2.58	2.51	2.46	2.42	2.38	2.35	2.32	2.3	2.25	2.21	2.18	2.16	2.12	2.07	2.04	1.98	1.94	1.91
36	7.4	5.25	4.38	3.89	3.57	3.35	3.18	3.05	2.95	2.86	2.72	2.62	2.54	2.48	2.43	2.38	2.35	2.32	2.29	2.26	2.21	2.17	2.14	2.12	2.08	2.03	2	1.94	1.9	1.87
38	7.35	5.21	4.34	3.86	3.54	3.32	3.15	3.02	2.92	2.83	2.69	2.59	2.51	2.45	2.4	2.35	2.32	2.28	2.26	2.23	2.18	2.14	2.11	2.09	2.05	2	1.97	1.9	1.86	1.84
40	7.31	5.18	4.31	3.83	3.51	3.29	3.12	2.99	2.89	2.8	2.66	2.56	2.48	2.42	2.37	2.33	2.29	2.26	2.23	2.2	2.15	2.11	2.08	2.06	2.02	1.97	1.94	1.87	1.83	1.8
42	7.28	5.15	4.29	3.8	3.49	3.27	3.1	2.97	2.86	2.78	2.64	2.54	2.46	2.4	2.34	2.3	2.26	2.23	2.2	2.18	2.13	2.09	2.06	2.03	1.99	1.94	1.91	1.85	1.8	1.78
44	7.25	5.12	4.26	3.78	3.47	3.24	3.08	2.95	2.84	2.75	2.62	2.52	2.44	2.37	2.32	2.28	2.24	2.21	2.18	2.15	2.1	2.06	2.03	2.01	1.97	1.92	1.89	1.82	1.78	1.75
46	7.22	5.1	4.24	3.76	3.44	3.22	3.06	2.93	2.82	2.73	2.6	2.5	2.42	2.35	2.3	2.26	2.22	2.19	2.16	2.13	2.08	2.04	2.01	1.99	1.95	1.9	1.86	1.8	1.75	1.73
48	7.2	5.08	4.22	3.74	3.43	3.2	3.04	2.91	2.8	2.72	2.58	2.48	2.4	2.33	2.28	2.24	2.2	2.17	2.14	2.12	2.06	2.02	1.99	1.97	1.93	1.83	1.84	1.78	1.73	1.7
50	7.17	5.06	4.2	3.72	3.41	3.19	3.02	2.89	2.79	2.7	2.56	2.46	2.38	2.32	2.27	2.22	2.18	2.15	2.12	2.1	2.05	2.01	1.97	1.95	1.91	1.86	1.82	1.76	1.71	1.68
60	7.08	4.98	4.13	3.65	3.34	3.12	2.95	2.82	2.72	2.63	2.5	2.39	2.31	2.25	2.2	2.15	2.12	2.08	2.05	2.03	1.98	1.94	1.9	1.88	1.84	1.78	1.75	1.68	1.63	1.6
80	6.96	4.88	4.04	3.56	3.26	3.04	2.87	2.74	2.64	2.55	2.42	2.31	2.23	2.17	2.12	2.07	2.03	2	1.97	1.94	1.89	1.85	1.81	1.79	1.75	1.69	1.66	1.58	1.53	1.49
100	6.9	4.82	3.98	3.51	3.21	2.99	2.82	2.69	2.59	2.5	2.37	2.26	2.19	2.12	2.07	2.02	1.98	1.94	1.92	1.89	1.84	1.8	1.76	1.73	1.69	1.63	1.6	1.52	1.47	1.43
125	6.84	4.78	3.94	3.47	3.17	2.95	2.79	2.66	2.55	2.47	2.33	2.23	2.15	2.08	2.03	1.98	1.94	1.91	1.88	1.85	1.8	1.76	1.72	1.69	1.65	1.59	1.55	1.47	1.41	1.37
150	6.81	4.75	3.92	3.45	3.14	2.92	2.76	2.63	2.53	2.44	2.31	2.2	2.12	2.06	2	1.96	1.92	1.88	1.85	1.83	1.77	1.73	1.69	1.66	1.62	1.56	1.52	1.43	1.38	1.33
200	6.76	4.71	3.88	3.41	3.11	2.89	2.73	2.6	2.5	2.41	2.27	2.17	2.09	2.02	1.97	1.93	1.89	1.85	1.82	1.79	1.74	1.69	1.66	1.63	1.58	1.52	1.48	1.39	1.33	1.28
300	6.72	4.68	3.85	3.38	3.08	2.86	2.7	2.57	2.47	2.38	2.24	2.14	2.06	1.99	1.94	1.89	1.85	1.82	1.79	1.76	1.71	1.66	1.62	1.59	1.55	1.48	1.44	1.35	1.28	1.22
