	1	2	3	4	5	6	7	8	9	10	16	36	144	145
2	0.9999	0.995	0.9794	0.9586	0.9373	0.9172	0.8998	0.8823	0.8674	0.8539	0.7949	0.7067	0.6062	0.5
3	0.9933	0.9423	0.8831	0.8335	0.7933	0.7606	0.7335	0.7107	0.6912	0.6743	0.6059	0.5153	0.423	0.3333
4	0.9676	0.8643	0.7814	0.7112	0.6761	0.641	0.6129	0.5897	0.5702	0.5536	0.4884	0.4057	0.3251	0.25
5	0.9279	0.7885	0.6957	0.6329	0.5875	0.5531	0.5259	0.5037	0.4854	0.4697	0.4094	0.3351	0.2644	0.2
6	0.8828	0.7218	0.6258	0.5635	0.5195	0.4866	0.4608	0.4401	0.4229	0.4084	0.3529	0.2858	0.2229	0.1667
7	0.8376	0.6644	0.5685	0.508	0.4659	0.4347	0.4105	0.3911	0.3751	0.3616	0.3105	0.2494	0.1925	0.1429
8	0.7945	0.6152	0.5209	0.4627	0.4226	0.3932	0.3704	0.3522	0.3373	0.3248	0.2779	0.2214	0.17	0.125
9	0.7544	0.5727	0.481	0.1251	0.387	0.3592	0.3378	0.3207	0.3067	0.295	0.2514	0.1992	0.1521	0.1111
10	0.7175	0.5358	0.4469	0.3934	0.3572	0.3308	0.3106	0.2945	0.2813	0.2704	0.2297	0.1811	0.1376	0.1
12	0.6528	0.4751	0.3919	0.3428	0.3099	0.2861	0.268	0.2535	0.2419	0.232	0.1961	0.1535	0.1157	0.0833
15	0.5747	0.4069	0.3317	0.2882	0.2593	0.2386	0.2228	0.2104	0.2002	0.1918	0.1612	0.1251	0.0934	0.0667
20	0.4799	0.3297	0.2654	0.2288	0.2048	0.1877	0.1748	0.1646	0.1567	0.1501	0.1248	0.096	0.0709	0.05
24	0.4247	0.2871	0.2295	0.197	0.1759	0.1608	0.1495	0.1406	0.1338	0.1283	0.106	0.081	0.0595	0.0417
30	0.3632	0.2412	0.1913	0.1635	0.1454	0.1327	0.1232	0.1157	0.11	0.1054	0.0867	0.0658	0.048	0.0333
40	0.294	0.1915	0.1508	0.1281	0.1135	0.1033	0.0957	0.0898	0.0853	0.0816	0.0668	0.0503	0.0363	0.025
60	0.2151	0.1371	0.1069	0.0902	0.0796	0.0722	0.0668	0.0625	0.0594	0.0567	0.0461	0.0344	0.0245	0.0167
120	0.1225	0.0759	0.0585	0.0489	0.0429	0.0387	0.0357	0.0334	0.0316	0.0302	0.0242	0.0178	0.0125	0.0083
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
